filename , index , x1 , x2 , x3 , x4 , y1 , y2 , y3 , y4 , is_key , row_id , text , category , group_id
receipt_00000.json,0,256,270,270,256,374,374,390,390,0,2179893,"x",menu.cnt,3
receipt_00000.json,0,258,270,270,258,402,402,418,418,0,2179894,"x",menu.cnt,4
receipt_00000.json,0,258,272,272,258,428,428,444,444,0,2179895,"x",menu.cnt,5
receipt_00000.json,0,260,274,274,260,456,456,470,470,0,2179896,"x",menu.cnt,6
receipt_00000.json,0,258,274,274,258,480,480,496,496,0,2179897,"x",menu.cnt,7
receipt_00000.json,0,260,276,276,260,506,506,522,522,0,2179898,"x",menu.cnt,8
receipt_00000.json,0,262,278,278,262,532,532,548,548,0,2179899,"x",menu.cnt,9
receipt_00000.json,0,266,280,280,266,558,558,572,572,0,2179900,"x",menu.cnt,10
receipt_00000.json,0,264,280,280,264,582,582,598,598,0,2179901,"x",menu.cnt,11
receipt_00000.json,0,268,282,282,268,608,608,622,622,0,2179902,"x",menu.cnt,12
receipt_00000.json,0,266,282,282,266,632,632,648,648,0,2179903,"x",menu.cnt,13
receipt_00000.json,0,268,284,284,268,660,660,674,674,0,2179904,"x",menu.cnt,14
receipt_00000.json,0,266,282,282,266,686,686,700,700,0,2179905,"x",menu.cnt,15
receipt_00000.json,0,268,282,282,268,710,710,726,726,0,2179906,"x",menu.cnt,16
receipt_00000.json,0,266,280,280,266,738,738,752,752,0,2179907,"x",menu.cnt,17
receipt_00000.json,0,266,280,280,266,764,764,778,778,0,2179908,"x",menu.cnt,18
receipt_00000.json,0,262,278,278,262,788,788,804,804,0,2179909,"x",menu.cnt,19
receipt_00000.json,0,262,278,278,262,816,816,832,832,0,2179910,"x",menu.cnt,20
receipt_00000.json,0,260,276,276,260,844,844,862,862,0,2179911,"x",menu.cnt,21
receipt_00000.json,0,260,276,276,260,872,872,890,890,0,2179912,"x",menu.cnt,22
receipt_00000.json,0,260,276,276,260,902,902,920,920,0,2179913,"x",menu.cnt,23
receipt_00000.json,0,260,276,276,260,930,930,946,946,0,2179914,"x",menu.cnt,24
receipt_00000.json,0,232,244,244,232,372,372,390,390,0,2179893,"1",menu.cnt,3
receipt_00000.json,0,302,354,354,302,368,368,390,390,0,2179893,"Nasi",menu.nm,3
receipt_00000.json,0,364,440,439,363,365,368,391,388,0,2179893,"Campur",menu.nm,3
receipt_00000.json,0,446,497,499,448,365,362,385,388,0,2179893,"Bali",menu.nm,3
receipt_00000.json,0,542,618,618,542,362,362,388,388,0,2179893,"75,000",menu.price,3
receipt_00000.json,0,234,246,246,234,400,400,418,418,0,2179894,"1",menu.cnt,4
receipt_00000.json,0,304,344,344,304,394,394,418,418,0,2179894,"Bbk",menu.nm,4
receipt_00000.json,0,352,430,430,352,394,394,418,418,0,2179894,"Bengil",menu.nm,4
receipt_00000.json,0,436,488,488,436,392,392,414,414,0,2179894,"Nasi",menu.nm,4
receipt_00000.json,0,534,618,618,534,388,388,414,414,0,2179894,"125,000",menu.price,4
receipt_00000.json,0,234,246,246,234,426,426,444,444,0,2179895,"1",menu.cnt,5
receipt_00000.json,0,303,417,417,303,420,420,444,444,0,2179895,"MilkShake",menu.nm,5
receipt_00000.json,0,424,500,500,424,418,418,440,440,0,2179895,"Starwb",menu.nm,5
receipt_00000.json,0,544,620,620,544,414,414,440,440,0,2179895,"37,000",menu.price,5
receipt_00000.json,0,236,248,248,236,452,452,470,470,0,2179896,"1",menu.cnt,6
receipt_00000.json,0,306,348,348,306,448,448,470,470,0,2179896,"Ice",menu.nm,6
receipt_00000.json,0,354,418,418,354,446,446,468,468,0,2179896,"Lemon",menu.nm,6
receipt_00000.json,0,426,466,466,426,446,446,466,466,0,2179896,"Tea",menu.nm,6
receipt_00000.json,0,544,618,618,544,440,440,466,466,0,2179896,"24,000",menu.price,6
receipt_00000.json,0,238,250,250,238,480,480,496,496,0,2179897,"1",menu.cnt,7
receipt_00000.json,0,306,358,358,306,474,474,496,496,0,2179897,"Nasi",menu.nm,7
receipt_00000.json,0,366,420,420,366,474,474,496,496,0,2179897,"Ayam",menu.nm,7
receipt_00000.json,0,425,499,500,426,471,469,491,494,0,2179897,"Dewata",menu.nm,7
receipt_00000.json,0,544,618,618,544,466,466,492,492,0,2179897,"70,000",menu.price,7
receipt_00000.json,0,240,252,252,240,504,504,522,522,0,2179898,"3",menu.cnt,8
receipt_00000.json,0,306,360,360,306,500,500,522,522,0,2179898,"Free",menu.nm,8
receipt_00000.json,0,368,408,408,368,500,500,522,522,0,2179898,"Ice",menu.nm,8
receipt_00000.json,0,416,454,454,416,498,498,520,520,0,2179898,"Tea",menu.nm,8
receipt_00000.json,0,604,618,618,604,494,494,514,514,0,2179898,"0",menu.price,8
receipt_00000.json,0,242,254,254,242,530,530,546,546,0,2179899,"1",menu.cnt,9
receipt_00000.json,0,308,396,396,308,526,526,548,548,0,2179899,"Organic",menu.nm,9
receipt_00000.json,0,404,466,466,404,524,524,544,544,0,2179899,"Green",menu.nm,9
receipt_00000.json,0,474,502,502,474,522,522,544,544,0,2179899,"Sa",menu.nm,9
receipt_00000.json,0,544,620,620,544,518,518,542,542,0,2179899,"65,000",menu.price,9
receipt_00000.json,0,242,254,254,242,556,556,572,572,0,2179900,"1",menu.cnt,10
receipt_00000.json,0,312,352,352,312,552,552,572,572,0,2179900,"Ice",menu.nm,10
receipt_00000.json,0,358,398,398,358,550,550,572,572,0,2179900,"Tea",menu.nm,10
receipt_00000.json,0,546,620,620,546,544,544,568,568,0,2179900,"18,000",menu.price,10
receipt_00000.json,0,244,256,256,244,582,582,598,598,0,2179901,"1",menu.cnt,11
receipt_00000.json,0,312,352,352,312,576,576,596,596,0,2179901,"Ice",menu.nm,11
receipt_00000.json,0,358,434,434,358,576,576,596,596,0,2179901,"Orange",menu.nm,11
receipt_00000.json,0,544,620,620,544,570,570,594,594,0,2179901,"29,000",menu.price,11
receipt_00000.json,0,246,258,258,246,606,606,622,622,0,2179902,"1",menu.cnt,12
receipt_00000.json,0,312,364,364,312,602,602,624,624,0,2179902,"Ayam",menu.nm,12
receipt_00000.json,0,370,422,422,370,600,600,620,620,0,2179902,"Suir",menu.nm,12
receipt_00000.json,0,428,478,478,428,598,598,620,620,0,2179902,"Bali",menu.nm,12
receipt_00000.json,0,544,618,618,544,596,596,620,620,0,2179902,"85,000",menu.price,12
receipt_00000.json,0,242,260,260,242,628,628,650,650,0,2179903,"2",menu.cnt,13
receipt_00000.json,0,312,364,364,312,626,626,648,648,0,2179903,"Tahu",menu.nm,13
receipt_00000.json,0,370,444,443,369,625,628,648,645,0,2179903,"Goreng",menu.nm,13
receipt_00000.json,0,543,619,620,544,622,619,644,647,0,2179903,"36,000",menu.price,13
receipt_00000.json,0,242,260,260,242,654,654,674,674,0,2179904,"2",menu.cnt,14
receipt_00000.json,0,314,376,376,314,652,652,674,674,0,2179904,"Tempe",menu.nm,14
receipt_00000.json,0,384,458,458,384,650,650,672,672,0,2179904,"Goreng",menu.nm,14
receipt_00000.json,0,546,620,620,546,644,644,668,668,0,2179904,"36,000",menu.price,14
receipt_00000.json,0,244,258,258,244,682,682,700,700,0,2179905,"1",menu.cnt,15
receipt_00000.json,0,312,364,364,312,676,676,698,698,0,2179905,"Tahu",menu.nm,15
