filename , index , x1 , x2 , x3 , x4 , y1 , y2 , y3 , y4 , is_key , row_id , text , category , group_id
receipt_00580.json,0,250,325,325,250,833,834,869,868,0,879802,"Tebu",menu.nm,3
receipt_00580.json,0,340,434,433,339,832,833,868,867,0,879802,"Lemon",menu.nm,3
receipt_00580.json,0,217,227,228,217,835,834,869,869,0,879802,"1",menu.cnt,3
receipt_00580.json,0,841,954,954,841,824,824,864,864,0,879802,"22.000",menu.price,3
receipt_00580.json,0,249,342,344,249,921,920,990,992,1,879803,"Total",total.total_price,4
receipt_00580.json,0,844,959,959,844,920,920,991,991,0,879803,"22.000",total.total_price,4
receipt_00580.json,0,173,326,326,173,1045,1044,1111,1114,1,879804,"CASH",total.cashprice,4
receipt_00580.json,0,733,960,960,733,1041,1041,1117,1117,0,879804,"22.000",total.cashprice,4
receipt_00580.json,0,212,230,227,213,925,926,993,994,0,879803,"1",total.menuqty_cnt,4
receipt_00095.json,1,106,146,148,106,532,531,555,557,1,1816076,"IDR",total.cashprice,5
receipt_00095.json,1,72,174,175,72,344,343,367,368,0,1816072,"ORIGINAL",menu.nm,3
receipt_00095.json,1,176,210,211,176,344,344,366,368,0,1816072,"NO",menu.nm,3
receipt_00095.json,1,211,265,266,212,345,343,366,367,0,1816072,"SALT",menu.nm,3
receipt_00095.json,1,74,86,86,74,378,378,398,398,0,1816073,"1",menu.cnt,3
receipt_00095.json,1,150,218,218,150,374,374,398,398,0,1816073,"12,000",menu.unitprice,3
receipt_00095.json,1,448,518,518,448,370,370,394,394,0,1816073,"12,000",menu.price,3
receipt_00095.json,1,46,96,96,46,420,420,444,444,1,1816074,"SUB",sub_total.subtotal_price,4
receipt_00095.json,1,94,166,166,94,420,420,442,442,1,1816074,"TOTAL",sub_total.subtotal_price,4
receipt_00095.json,1,450,520,520,450,414,414,438,438,0,1816074,"12,000",sub_total.subtotal_price,4
receipt_00095.json,1,42,126,126,42,482,482,507,508,1,1816075,"GRAND",total.total_price,5
receipt_00095.json,1,125,196,196,126,482,482,507,507,1,1816075,"TOTAL",total.total_price,5
receipt_00095.json,1,452,524,524,452,478,478,502,502,0,1816075,"12,000",total.total_price,5
receipt_00095.json,1,40,104,105,39,532,532,556,558,1,1816076,"CASH",total.cashprice,5
receipt_00095.json,1,454,528,528,454,528,528,552,552,0,1816076,"52,000",total.cashprice,5
receipt_00095.json,1,38,136,136,38,580,581,605,606,1,1816077,"CHANGE",total.changeprice,5
receipt_00095.json,1,137,185,186,136,579,579,605,606,1,1816077,"DUE",total.changeprice,5
receipt_00095.json,1,456,530,530,456,578,578,602,602,0,1816077,"40,000",total.changeprice,5
receipt_00216.json,2,68,140,140,68,416,416,450,450,1,2137740,"Total",total.total_price,68
receipt_00216.json,2,467,549,550,468,408,405,439,442,0,2137740,"23.000",total.total_price,68
